Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
14.425,0.405297046,,14.425,0.178962914
14.45,-0.255388533,,14.45,0.177509649
14.475,0.289999088,,14.475,0.176072773
14.5,-0.038772107,,14.5,0.174651532
14.525,0.001043105,,14.525,0.173245259
14.55,0.270956609,,14.55,0.171853362
14.575,-0.175595572,,14.575,0.170475313
14.6,0.281349197,,14.6,0.169110641
14.625,-0.129430998,,14.625,0.167758922
14.65,0.184908224,,14.65,0.16641977
14.675,-0.053045336,,14.675,0.165092838
14.7,0.165735894,,14.7,0.163777804
14.725,-0.071469087,,14.725,0.162474375
14.75,0.10022482,,14.75,0.161182275
14.775,0.013147553,,14.775,0.15990125
14.8,-0.053797007,,14.8,0.158631058
14.825,0.269374936,,14.825,0.157371474
14.85,-0.229651719,,14.85,0.156122279
14.875,0.227382238,,14.875,0.154883268
14.9,-0.197325142,,14.9,0.153654242
14.925,0.109288076,,14.925,0.152435009
14.95,0.032137099,,14.95,0.151225386
14.975,-0.009689654,,14.975,0.150025192
15,-0.048659154,,15,0.149427431
15,0.318097926,,15,0.158611195
15.025,0.154971766,,15.025,0.157809892
15.05,0.209274887,,15.05,0.156236825
15.075,-0.01240506,,15.075,0.154723509
15.1,0.229062566,,15.1,0.153271146
15.125,-0.022881375,,15.125,0.151880682
15.15,0.160194641,,15.15,0.150552829
15.175,0.106249271,,15.175,0.149288101
15.2,0.055423315,,15.2,0.148086829
15.225,0.243467848,,15.225,0.146949195
15.25,-0.045671542,,15.25,0.145875247
15.275,0.208468951,,15.275,0.144864922
15.3,-0.022149599,,15.3,0.143918065
15.325,0.134478918,,15.325,0.143034445
15.35,0.062665024,,15.35,0.142213771
15.375,0.078673882,,15.375,0.141455706
15.4,0.07988969,,15.4,0.140759879
15.425,0.061542596,,15.425,0.140125899
15.45,0.075052669,,15.45,0.139553361
15.475,0.053385092,,15.475,0.13904186
15.5,0.112991079,,15.5,0.138590996
15.525,0.020422844,,15.525,0.138200382
15.55,0.117973781,,15.55,0.137869652
15.575,0.011418806,,15.575,0.137598464
15.6,0.09996121,,15.6,0.137386508
