Frequency,ADS,,,HFSS,,,Theory,
6020000000,1.62E-10,0.162400425,,1.75E-10,0.174811418,,9.43E-09,0.094287504
6040000000,1.62E-10,0.161977032,,1.74E-10,0.174409476,,9.41E-09,0.094103027
6060000000,1.62E-10,0.161591527,,1.74E-10,0.174039187,,9.39E-09,0.093938118
6080000000,1.61E-10,0.161244283,,1.74E-10,0.173701379,,9.38E-09,0.093792917
6100000000,1.61E-10,0.160935692,,1.73E-10,0.173396889,,9.37E-09,0.093667571
6120000000,1.61E-10,0.160666169,,1.73E-10,0.173126569,,9.36E-09,0.093562235
6140000000,1.60E-10,0.160436155,,1.73E-10,0.172891291,,9.35E-09,0.093477078
6160000000,1.60E-10,0.16024612,,1.73E-10,0.172691949,,9.34E-09,0.093412278
6180000000,1.60E-10,0.160096569,,1.73E-10,0.172529469,,9.34E-09,0.09336803
6200000000,1.60E-10,0.159988045,,1.72E-10,0.172404811,,9.33E-09,0.093344543
6220000000,1.60E-10,0.159921137,,1.72E-10,0.172318974,,9.33E-09,0.093342046
6240000000,1.60E-10,0.159896478,,1.72E-10,0.172273005,,9.34E-09,0.093360787
6260000000,1.60E-10,0.159914755,,1.72E-10,0.172268003,,9.34E-09,0.093401032
6280000000,1.60E-10,0.159976714,,1.72E-10,0.172305125,,9.35E-09,0.093463077
6300000000,1.60E-10,0.160083162,,1.72E-10,0.172385595,,9.35E-09,0.093547237
6320000000,1.60E-10,0.160234976,,1.73E-10,0.172510711,,9.37E-09,0.093653861
6340000000,1.60E-10,0.160433106,,1.73E-10,0.172681854,,9.38E-09,0.093783324
6360000000,1.61E-10,0.160678584,,1.73E-10,0.172900493,,9.39E-09,0.093936035
6380000000,1.61E-10,0.160972532,,1.73E-10,0.173168198,,9.41E-09,0.094112439
6400000000,1.61E-10,0.161316163,,1.73E-10,0.173486649,,9.43E-09,0.094313021
6420000000,1.62E-10,0.161710796,,1.74E-10,0.173857648,,9.45E-09,0.094538304
6440000000,1.62E-10,0.162157863,,1.74E-10,0.174283128,,9.48E-09,0.09478886
6460000000,1.63E-10,0.162658915,,1.75E-10,0.174765169,,9.51E-09,0.095065307
6480000000,1.63E-10,0.163215635,,1.75E-10,0.17530601,,9.54E-09,0.095368317
6500000000,1.64E-10,0.163829851,,1.76E-10,0.175908067,,9.57E-09,0.095698621
6520000000,1.65E-10,0.164503544,,1.77E-10,0.176573948,,9.61E-09,0.096057009
6540000000,1.65E-10,0.165238864,,1.77E-10,0.177306472,,9.64E-09,0.09644434
6560000000,1.66E-10,0.166038144,,1.78E-10,0.178108688,,9.69E-09,0.096861547
6580000000,1.67E-10,0.166903917,,1.79E-10,0.178983902,,9.73E-09,0.097309642
6600000000,1.68E-10,0.167838931,,1.80E-10,0.1799357,,9.78E-09,0.097789722
6620000000,1.69E-10,0.168846171,,1.81E-10,0.180967972,,9.83E-09,0.098302983
6640000000,1.70E-10,0.169928882,,1.82E-10,0.182084947,,9.89E-09,0.09885072
6660000000,1.71E-10,0.171090588,,1.83E-10,0.183291228,,9.94E-09,0.099434341
6680000000,1.72E-10,0.172335121,,1.85E-10,0.184591824,,1.00E-08,0.10005538
6700000000,1.74E-10,0.17366665,,1.86E-10,0.185992199,,1.01E-08,0.100715502
6720000000,1.75E-10,0.175089713,,1.87E-10,0.187498311,,1.01E-08,0.101416524
6740000000,1.77E-10,0.176609252,,1.89E-10,0.189116671,,1.02E-08,0.102160422
6760000000,1.78E-10,0.178230652,,1.91E-10,0.190854398,,1.03E-08,0.102949352
6780000000,1.80E-10,0.179959785,,1.93E-10,0.192719282,,1.04E-08,0.103785665
6800000000,1.82E-10,0.181803057,,1.95E-10,0.194719859,,1.05E-08,0.10467193
6820000000,1.84E-10,0.183767463,,1.97E-10,0.196865487,,1.06E-08,0.105610953
6840000000,1.86E-10,0.185860646,,1.99E-10,0.199166444,,1.07E-08,0.106605805
6860000000,1.88E-10,0.188090959,,2.02E-10,0.201634017,,1.08E-08,0.107659847
6880000000,1.90E-10,0.190467541,,2.04E-10,0.204280624,,1.09E-08,0.108776764
6900000000,1.93E-10,0.193000395,,2.07E-10,0.207119933,,1.10E-08,0.109960598
6920000000,1.96E-10,0.195700476,,2.10E-10,0.210167001,,1.11E-08,0.111215788
6940000000,1.99E-10,0.198579785,,2.13E-10,0.21343843,,1.13E-08,0.112547213
6960000000,2.02E-10,0.201651478,,2.17E-10,0.216952537,,1.14E-08,0.113960244
6980000000,2.05E-10,0.204929978,,2.21E-10,0.22072954,,1.15E-08,0.115460794
